Pixel,Wavelength(nm),Intensity(Counts)
1093,383.2,1633
1094,383.4,1693
1095,383.6,1599
1096,383.9,1585
1097,384.1,1559
1098,384.3,1592
1099,384.5,1595
1100,384.8,1641
1101,385,1608
1102,385.2,1575
1103,385.4,1577
1104,385.7,1651
1105,385.9,1664
1106,386.1,1708
1107,386.4,1653
1108,386.6,1666
1109,386.8,1595
1110,387,1559
1111,387.3,1612
1112,387.5,1662
1113,387.7,1607
1114,387.9,1629
1115,388.2,1650
1116,388.4,1664
1117,388.6,1670
1118,388.8,1597
1119,389.1,1577
1120,389.3,1597
1121,389.5,1663
1122,389.7,1635
1123,390,1642
1124,390.2,1572
1125,390.4,1572
1126,390.6,1607
1127,390.9,1660
1128,391.1,1675
1129,391.3,1621
1130,391.5,1602
1131,391.8,1599
1132,392,1581
1133,392.2,1606
1134,392.4,1596
1135,392.7,1613
1136,392.9,1607
1137,393.1,1563
1138,393.3,1607
1139,393.6,1573
1140,393.8,1667
1141,394,1654
1142,394.2,1675
1143,394.5,1664
1144,394.7,1614
1145,394.9,1617
1146,395.1,1582
1147,395.4,1583
1148,395.6,1607
1149,395.8,1621
1150,396.1,1630
1151,396.3,1658
1152,396.5,1664
1153,396.7,1643
1154,397,1657
1155,397.2,1646
1156,397.4,1617
1157,397.6,1615
1158,397.9,1648
1159,398.1,1635
1160,398.3,1633
1161,398.5,1564
1162,398.8,1615
1163,399,1651
1164,399.2,1587
1165,399.4,1615
1166,399.7,1684
1167,399.9,1718
1168,400.1,1668
1169,400.3,1712
1170,400.6,1693
1171,400.8,1657
1172,401,1563
1173,401.3,1519
1174,401.5,1638
1175,401.7,1666
1176,401.9,1693
1177,402.2,1686
1178,402.4,1673
1179,402.6,1619
1180,402.8,1607
1181,403.1,1633
1182,403.3,1667
1183,403.5,1660
1184,403.7,1677
1185,404,1649
1186,404.2,1603
1187,404.4,1659
1188,404.6,1652
1189,404.9,1682
1190,405.1,1721
1191,405.3,1731
1192,405.6,1738
1193,405.8,1680
1194,406,1634
1195,406.2,1650
1196,406.5,1655
1197,406.7,1701
1198,406.9,1734
1199,407.1,1742
1200,407.4,1687
1201,407.6,1665
1202,407.8,1606
1203,408,1685
1204,408.3,1744
1205,408.5,1748
1206,408.7,1755
1207,409,1775
1208,409.2,1711
1209,409.4,1686
1210,409.6,1658
1211,409.9,1666
1212,410.1,1633
1213,410.3,1678
1214,410.5,1733
1215,410.8,1737
1216,411,1757
1217,411.2,1714
1218,411.4,1764
1219,411.7,1798
1220,411.9,1743
1221,412.1,1793
1222,412.4,1769
1223,412.6,1791
1224,412.8,1833
1225,413,1798
1226,413.3,1808
1227,413.5,1800
1228,413.7,1792
1229,413.9,1799
1230,414.2,1831
1231,414.4,1859
1232,414.6,1916
1233,414.8,1909
1234,415.1,1889
1235,415.3,1827
1236,415.5,1757
1237,415.8,1792
1238,416,1849
1239,416.2,1907
1240,416.4,1945
1241,416.7,1928
1242,416.9,2020
1243,417.1,2091
1244,417.3,2095
1245,417.6,2097
1246,417.8,2078
1247,418,2125
1248,418.3,2153
1249,418.5,2164
1250,418.7,2113
1251,418.9,2211
1252,419.2,2209
1253,419.4,2238
1254,419.6,2266
1255,419.8,2227
1256,420.1,2311
1257,420.3,2318
1258,420.5,2264
1259,420.8,2338
1260,421,2349
1261,421.2,2455
1262,421.4,2457
1263,421.7,2566
1264,421.9,2605
1265,422.1,2667
1266,422.3,2680
1267,422.6,2761
1268,422.8,2770
1269,423,2820
1270,423.3,2861
1271,423.5,2892
1272,423.7,2993
1273,423.9,3053
1274,424.2,3052
1275,424.4,3121
1276,424.6,3137
1277,424.8,3194
1278,425.1,3292
1279,425.3,3377
1280,425.5,3477
1281,425.8,3596
1282,426,3683
1283,426.2,3713
1284,426.4,3813
1285,426.7,3929
1286,426.9,3938
1287,427.1,3922
1288,427.3,4075
1289,427.6,4205
1290,427.8,4319
1291,428,4434
1292,428.3,4592
1293,428.5,4719
1294,428.7,4791
1295,428.9,4882
1296,429.2,5029
1297,429.4,5186
1298,429.6,5412
1299,429.9,5495
1300,430.1,5680
1301,430.3,5773
1302,430.5,5970
1303,430.8,6147
1304,431,6375
1305,431.2,6566
1306,431.4,6839
1307,431.7,7104
1308,431.9,7223
1309,432.1,7437
1310,432.4,7622
1311,432.6,7793
1312,432.8,8063
1313,433,8323
1314,433.3,8617
1315,433.5,8897
1316,433.7,9147
1317,434,9445
1318,434.2,9821
1319,434.4,10067
1320,434.6,10448
1321,434.9,10747
1322,435.1,11051
1323,435.3,11473
1324,435.6,11855
1325,435.8,12236
1326,436,12451
1327,436.2,12772
1328,436.5,13205
1329,436.7,13501
1330,436.9,14053
1331,437.2,14533
1332,437.4,14976
1333,437.6,15571
1334,437.8,16220
1335,438.1,16605
1336,438.3,17153
1337,438.5,17600
1338,438.7,18068
1339,439,18807
1340,439.2,19478
1341,439.4,19813
1342,439.7,20458
1343,439.9,21172
1344,440.1,21807
1345,440.3,22661
1346,440.6,23403
1347,440.8,24353
1348,441,25058
1349,441.3,26008
1350,441.5,26914
1351,441.7,27829
1352,441.9,28706
1353,442.2,29597
1354,442.4,30629
1355,442.6,31601
1356,442.9,32714
1357,443.1,33879
1358,443.3,34663
1359,443.5,35693
1360,443.8,36609
1361,444,37752
1362,444.2,39139
1363,444.5,40233
1364,444.7,41520
1365,444.9,42610
1366,445.1,44111
1367,445.4,45320
1368,445.6,46364
1369,445.8,47402
1370,446.1,48743
1371,446.3,49866
1372,446.5,51118
1373,446.7,52200
1374,447,53154
1375,447.2,54274
1376,447.4,55433
1377,447.7,56355
1378,447.9,57570
1379,448.1,58486
1380,448.3,59682
1381,448.6,60542
1382,448.8,61336
1383,449,61920
1384,449.3,62726
1385,449.5,63398
1386,449.7,63661
1387,449.9,64218
1388,450.2,64434
1389,450.4,64957
1390,450.6,65478
1391,450.9,65535
1392,451.1,65535
1393,451.3,65535
1394,451.6,65535
1395,451.8,65535
1396,452,65531
1397,452.2,65302
1398,452.5,65227
1399,452.7,64686
1400,452.9,63962
1401,453.2,63322
1402,453.4,62674
1403,453.6,62112
1404,453.8,61301
1405,454.1,60833
1406,454.3,60198
1407,454.5,59327
1408,454.8,58416
1409,455,57530
1410,455.2,56515
1411,455.4,55651
1412,455.7,54868
1413,455.9,53931
1414,456.1,53160
1415,456.4,52378
1416,456.6,51418
1417,456.8,50399
1418,457,49631
1419,457.3,48702
1420,457.5,47842
1421,457.7,46952
1422,458,46358
1423,458.2,45504
1424,458.4,44742
1425,458.7,44141
1426,458.9,43551
1427,459.1,42825
1428,459.3,42069
1429,459.6,41421
1430,459.8,40869
1431,460,40195
1432,460.3,39748
1433,460.5,39043
1434,460.7,38458
1435,460.9,38013
1436,461.2,37466
1437,461.4,37053
1438,461.6,36739
1439,461.9,36422
1440,462.1,35904
1441,462.3,35431
1442,462.6,35026
1443,462.8,34828
1444,463,34572
1445,463.2,34188
1446,463.5,33948
1447,463.7,33809
1448,463.9,33387
1449,464.2,33115
1450,464.4,32591
1451,464.6,32394
1452,464.9,32025
1453,465.1,31538
1454,465.3,31180
1455,465.5,30944
1456,465.8,30711
1457,466,30360
1458,466.2,29846
1459,466.5,29281
1460,466.7,28913
1461,466.9,28618
1462,467.1,28345
1463,467.4,27845
1464,467.6,27518
1465,467.8,27115
1466,468.1,26775
1467,468.3,26389
1468,468.5,25921
1469,468.8,25747
1470,469,25317
1471,469.2,24986
1472,469.4,24627
1473,469.7,24236
1474,469.9,23593
1475,470.1,23189
1476,470.4,22870
1477,470.6,22489
1478,470.8,22109
1479,471.1,21729
1480,471.3,21384
1481,471.5,20917
1482,471.7,20656
1483,472,20362
1484,472.2,20045
1485,472.4,19802
1486,472.7,19580
1487,472.9,19242
